product_key,oem_identifier,barcode,usage_status
VK7JG-NPHTM-C97JM-9MPGT-3V66T,FQC-10547,COA987654321,Used
33PXH-7Y6KF-2VJC9-XBBR8-HVTHH,FQC-10547,COA987654322,Used
JMNMF-RHW7P-DMY6X-RF3DR-X2BQT,FQC-10547,COA987654323,Failed
W4NQP-JFK4F-KXQ5Q-2DXJG-DG83G,FQC-10547,COA987654324,Failed
NPPR9-FWDCX-D2C8J-H872K-2YT43,FQC-10547,COA987654325,Unused
6RH4V-HNTWJ-PV6C9-FRW64-2M38H,FQC-10547,COA987654326,Unused
TX9XD-98N7V-6WMQ6-BX7FG-H8Q99,FQC-10547,COA987654327,Used
FCGGH-W7W3D-HXQPC-4M6PV-Q2T7J,FQC-10547,COA987654328,Used
7M67G-PC374-GR6C6-H3QRG-4Q9PJ,FQC-10547,COA987654329,Failed
PVMJN-6DFY6-9CCP6-7BKTT-D3WVR,FQC-10547,COA987654330,Unused
